,name,year,release_date,artists,id,duration_ms,explicit,valence,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
18606,Electric Love,2015,2015-10-16,['BØRNS'],2GiJYvgVaD2HtM8GqD9EgQ,218107,0,0.518,0.00543,0.611,0.797,0.00137,6,0.26,-7.627000000000002,0,87,0.0533,120.041
18607,Daddy Issues,2015,2015-10-30,['The Neighbourhood'],5E30LdtzQTGqRvNd7l6kG5,260173,0,0.337,0.0678,0.588,0.521,0.149,10,0.123,-9.461,1,86,0.0329,85.012
18608,The Less I Know The Better,2015,2015-07-17,['Tame Impala'],6K4t31amVTZDgR3sKmwUJJ,216320,1,0.785,0.0115,0.64,0.74,0.00678,4,0.1669999999999999,-4.083,1,85,0.0284,116.879
18609,Tennessee Whiskey,2015,2015-05-04,['Chris Stapleton'],3fqwjXwUGN6vbzIwvyFMhx,293293,0,0.512,0.205,0.392,0.37,0.0096,9,0.0821,-10.888,1,79,0.0298,48.718
18610,Wait a Minute!,2015,2015-01-11,['WILLOW'],0y60itmpH0aPKsFiGxmtnh,196520,0,0.672,0.0371,0.764,0.705,1.94e-05,3,0.0943,-5.279,0,83,0.0278,101.003
18611,The Night We Met,2015,2015-04-07,['Lord Huron'],0QZ5yyl6B6utIWkxeBDxQN,208212,0,0.1,0.969,0.545,0.366,0.267,2,0.6409999999999999,-9.51,1,76,0.0378,86.99700000000001
18612,The Hills,2015,2015-08-28,['The Weeknd'],7fBv7CLKzipRk6EC6TWHOB,242253,1,0.1369999999999999,0.0671,0.585,0.564,0.0,0,0.135,-7.063,0,83,0.0515,113.003
18613,Don't,2015,2015-10-02,['Bryson Tiller'],3pXF1nA74528Edde4of9CC,198293,1,0.189,0.223,0.765,0.356,0.0,11,0.0963,-5.556,0,79,0.195,96.991
18614,Play Date,2015,2015-08-14,['Melanie Martinez'],4DpNNXFMMxQEKl7r0ykkWA,179867,1,0.446,0.612,0.68,0.7290000000000001,0.0,5,0.224,-5.077,1,85,0.0475,123.97
18615,Exchange,2015,2015-10-02,['Bryson Tiller'],43PuMrRfbyyuz4QpZ3oAwN,194613,1,0.276,0.107,0.525,0.433,0.0,6,0.135,-10.598,1,78,0.185,160.108
18616,Die A Happy Man,2015,2015-01-01,['Thomas Rhett'],5kNe7PE09d6Kvw5pAsx23n,227427,0,0.4,0.418,0.595,0.389,1.39e-06,2,0.116,-9.245,1,75,0.0349,166.05200000000005
18617,idfc,2015,2015-02-14,['blackbear'],6y6jbcPG4Yn3Du4moXaenr,245172,1,0.315,0.611,0.63,0.5,4.04e-05,1,0.114,-8.755,0,80,0.0611,144.871
18618,Weekend (feat. Miguel),2015,2015-09-18,"['Mac Miller', 'Miguel']",6GnhWMhgJb7uyiiPEiEkDA,208080,1,0.19,0.47,0.843,0.435,0.0,8,0.147,-8.442,1,76,0.178,120.058
18619,Kill Yourself (Part III),2015,2015-09-21,['$uicideBoy$'],5XAPpyIoYF3QXP34Hv8Pvx,145078,1,0.19,0.324,0.753,0.679,4.2100000000000014e-05,5,0.423,-7.0920000000000005,0,79,0.0349,105.977
18620,Stressed Out,2015,2015-05-15,['Twenty One Pilots'],3CRDbSIZ4r5MsZ0YwxuEkn,202333,0,0.648,0.0462,0.7340000000000001,0.637,2.29e-05,4,0.0602,-5.6770000000000005,0,84,0.141,169.977
18621,Drama (feat. Drake),2015,2015-07-31,"['Roy Woods', 'Drake']",0PXp9QxBfSKGGpWUNaws2X,251860,1,0.113,0.157,0.7090000000000001,0.362,0.0,11,0.109,-9.814,1,77,0.055,122.043
18622,Come Get Her,2015,2015-01-06,['Rae Sremmurd'],1Ser4X0TKttOvo8bgdytTP,212947,1,0.123,0.187,0.6890000000000001,0.564,0.0,2,0.0721,-6.226,1,77,0.136,185.023
18623,Centuries,2015,2015-01-20,['Fall Out Boy'],04aAxqtGp5pv12UXAg4pkq,228360,0,0.56,0.00359,0.393,0.858,0.0,4,0.102,-2.8680000000000003,0,81,0.0729,176.042
18624,Uptown Funk (feat. Bruno Mars),2015,2015-01-12,"['Mark Ronson', 'Bruno Mars']",32OlwWuMpZ6b0aN2RZOeMS,269667,0,0.928,0.00801,0.856,0.609,8.149999999999999e-05,0,0.0344,-7.223,1,82,0.0824,114.988
18625,I Don't Fuck With You,2015,2015-02-24,"['Big Sean', 'E-40']",7FYH5AW3bVfZHJIQpq3UOA,284387,1,0.395,0.0362,0.8240000000000001,0.733,0.0,1,0.325,-5.474,1,75,0.0613,97.972
18626,Ride,2015,2015-05-15,['Twenty One Pilots'],2Z8WuEywRWYTKe1NybPQEW,214507,0,0.5660000000000001,0.00835,0.645,0.713,0.0,6,0.113,-5.355,1,81,0.0393,74.98899999999998
18627,Loud and Heavy,2015,2015-01-12,['Cody Jinks'],0SF38KDlXNLJAxbYyOMnCy,229928,0,0.574,0.000531,0.502,0.685,1.61e-06,0,0.0923,-5.847,0,73,0.0283,81.978
18628,oui,2015,2015-12-04,['Jeremih'],0PJIbOdMs3bd5AT8liULMQ,238320,0,0.604,0.213,0.418,0.7240000000000001,0.0,5,0.112,-3.724,1,75,0.0964,78.521
18629,Satisfied,2015,2015-09-25,"['Renée Elise Goldsberry', 'Original Broadway Cast of Hamilton']",3dP0pLbg9OfVwssDjp9aT0,329228,0,0.478,0.287,0.7070000000000001,0.593,0.0,5,0.15,-8.581,0,75,0.0949,123.772
18630,Alexander Hamilton,2015,2015-09-25,"['Leslie Odom Jr.', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan', 'Lin-Manuel Miranda', 'Phillipa Soo', 'Original Broadway Cast of Hamilton']",4TTV7EcfroSLWzXRY6gLv6,236738,0,0.552,0.522,0.609,0.435,0.0,11,0.118,-7.8610000000000015,0,75,0.285,131.995
18631,679 (feat. Remy Boyz),2015,2015-06-29,"['Fetty Wap', 'Remy Boyz']",5NQbUaeTEOGdD6hHcre0dZ,196693,1,0.603,0.00256,0.618,0.7170000000000001,0.0,7,0.625,-5.738,1,77,0.318,190.05
18632,Spin You Around,2015,2015-08-24,['Morgan Wallen'],1yj1ZztSGITJ5Nf4mfH92c,212850,0,0.616,0.00147,0.517,0.877,0.0,4,0.208,-3.621,1,72,0.0297,150.004
18633,Scars To Your Beautiful,2015,2015-11-13,['Alessia Cara'],0prNGof3XqfTvNDxHonvdK,230227,0,0.451,0.0285,0.573,0.7390000000000001,0.0,0,0.111,-5.74,1,73,0.129,97.085
18634,L$D,2015,2015-05-26,['A$AP Rocky'],4S7YHmlWwfwArgd8LfSPud,238307,1,0.0352,0.194,0.598,0.252,0.133,2,0.0992,-15.086,1,76,0.0644,120.064
18635,Trap Queen,2015,2015-09-25,['Fetty Wap'],2d8JP84HNLKhmd6IYOoupQ,222093,1,0.8170000000000001,0.0244,0.746,0.873,0.0,7,0.354,-3.803,1,74,0.128,148.075
18636,This Is Home,2015,2015-08-03,['Cavetown'],7s8VgA8OjvwBUuigKzEGBx,226073,0,0.211,0.56,0.8109999999999999,0.266,1.05e-06,7,0.0962,-12.478,1,76,0.0406,130.04399999999998
18637,See You Again (feat. Charlie Puth),2015,2015,"['Wiz Khalifa', 'Charlie Puth']",2JzZzZUQj3Qff7wapcbKjc,229526,0,0.283,0.369,0.6890000000000001,0.481,1.03e-06,10,0.0649,-7.502999999999999,1,82,0.0815,80.025
18638,90210 (feat. Kacy Hill),2015,2015-09-04,"['Travis Scott', 'Kacy Hill']",51EC3I1nQXpec4gDk0mQyP,339067,1,0.312,0.113,0.402,0.526,8.33e-06,9,0.105,-6.7410000000000005,0,75,0.0904,81.404
18639,Unsteady,2015,2015-06-30,['X Ambassadors'],7lGKEWMXVWWTt3X71Bv44I,193547,0,0.199,0.178,0.389,0.665,0.000732,0,0.116,-6.169,1,77,0.0644,117.055
18640,The Schuyler Sisters,2015,2015-09-25,"['Renée Elise Goldsberry', 'Phillipa Soo', 'Jasmine Cephas-Jones', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",71X7bPDljJHrmEGYCe7kQ8,186543,0,0.792,0.187,0.74,0.727,0.0,2,0.627,-6.252999999999999,1,74,0.278,101.409
18641,Brown Noise - Loopable with No Fade,2015,2015-05-26,"['White Noise Meditation', 'Lullaby Land', 'White Noise Babies', 'Calming Sounds', 'Canciones De Cuna']",67iF3DdebmElASIGoebYt1,73887,0,0.0,0.0,0.0,2.01e-05,0.0,5,0.0,-15.776,1,72,0.0,0.0
18642,You'll Be Back,2015,2015-09-25,"['Jonathan Groff', 'Original Broadway Cast of Hamilton']",6OG1S805gIrH5nAQbEOPY3,208321,0,0.434,0.39,0.607,0.466,0.0,0,0.135,-7.562,1,74,0.0578,121.741
18643,Love Yourself,2015,2015-11-13,['Justin Bieber'],50kpGaPAhYJ3sGmk6vplg0,233720,0,0.515,0.835,0.609,0.378,0.0,4,0.28,-9.828,1,82,0.438,100.418
18644,My Shot,2015,2015-09-25,"['Lin-Manuel Miranda', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",4cxvludVmQxryrnx1m9FqL,333154,1,0.568,0.15,0.698,0.649,0.0,8,0.0903,-6.763999999999999,1,74,0.415,180.466
18645,Antidote,2015,2015-09-04,['Travis Scott'],1wHZx0LgzFHyeIZkUydNXq,262693,1,0.131,0.00767,0.713,0.526,0.000148,1,0.124,-5.046,1,77,0.032,131.05
18646,Like I'm Gonna Lose You (feat. John Legend),2015,2015-01-09,"['Meghan Trainor', 'John Legend']",2YlZnw2ikdb837oKMKjBkW,225053,0,0.417,0.4,0.63,0.53,0.0,0,0.177,-7.258999999999999,1,80,0.0434,108.038
18647,FourFiveSeconds,2015,2015-01-24,"['Rihanna', 'Kanye West', 'Paul McCartney']",78TTtXnFQPzwqlbtbwqN0y,188238,0,0.354,0.875,0.5820000000000001,0.272,0.0,2,0.13,-5.662000000000001,1,79,0.0501,205.846
18648,Devil Town,2015,2015-11-09,['Cavetown'],0vf2eBw2inhl8y61cYQMv2,179955,0,0.501,0.12,0.5760000000000001,0.759,0.0,3,0.121,-8.165,1,76,0.0599,99.969
18649,Wait for It,2015,2015-09-25,"['Leslie Odom Jr.', 'Original Broadway Cast of Hamilton']",7EqpEBPOohgk7NnKvBGFWo,193750,0,0.519,0.124,0.5429999999999999,0.473,4.04e-06,6,0.0922,-9.638,1,74,0.157,86.53399999999998
18650,Can't Feel My Face,2015,2015-08-28,['The Weeknd'],22VdIZQfgXJea34mQxlt81,213520,0,0.583,0.113,0.705,0.769,0.0,9,0.105,-5.526,0,79,0.0425,107.949
18651,Helpless,2015,2015-09-25,"['Phillipa Soo', 'Original Broadway Cast of Hamilton']",54Sc7mZQ1RM03STpk4SfaA,249771,0,0.737,0.334,0.688,0.491,0.0,5,0.0914,-7.494,1,74,0.269,79.009
18652,Paris,2015,2015-11-20,['$uicideBoy$'],4irYeuAi87yyGHcI4h9s0x,111020,1,0.196,0.0725,0.8490000000000001,0.648,0.00592,7,0.0984,-6.188,1,76,0.0832,106.075
18653,Looking Out for You,2015,2015-11-06,['Joy Again'],1lpLrlyweOShEKXT1bpcDd,179499,0,0.937,0.0891,0.682,0.9,0.063,9,0.0685,-5.0280000000000005,1,74,0.0873,100.721
18654,Sorry,2015,2015-11-13,['Justin Bieber'],09CtPGIpYB4BrO8qb1RGsF,200787,0,0.41,0.0797,0.654,0.76,0.0,0,0.299,-3.669,0,82,0.045,99.945
18655,Often,2015,2015-08-28,['The Weeknd'],4PhsKqMdgMEUSstTDAmMpg,249040,1,0.0713,0.222,0.5720000000000001,0.631,0.0,7,0.135,-9.836,0,77,0.0476,134.078
18656,Rolling Ocean Waves,2015,2015-06-04,"['Ocean Waves For Sleep', 'Ocean Sounds Collection', 'Ocean Sounds', 'Fresh Water Sounds', 'Water Sound Natural White Noise']",11Rm75lU5EmETsTR22C0gT,96872,0,1e-05,0.813,0.127,0.941,0.988,1,0.178,-16.083,0,72,0.0509,82.14399999999998
18657,These Days,2015,2015-10-30,['mike.'],5tsI3xxDHDgzHhn30LTQNz,268566,1,0.328,0.5329999999999999,0.815,0.364,3.52e-05,2,0.108,-11.158,1,73,0.375,129.937
18658,No Flockin',2015,2015-11-13,['Kodak Black'],34oWbFBfGEElvgO0a5c9V4,165291,1,0.815,0.0673,0.943,0.595,0.0,5,0.0839,-8.372,0,71,0.191,117.532
18659,"Aaron Burr, Sir",2015,2015-09-25,"['Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Anthony Ramos', 'Daveed Diggs', 'Okieriete Onaodowan']",6dr7ekfhlbquvsVY8D7gyk,156631,0,0.528,0.272,0.6459999999999999,0.439,0.0,7,0.0945,-10.837,1,73,0.818,160.387
18660,Space Song,2015,2015-08-28,['Beach House'],7H0ya83CMmgFcOhw0UB6ow,320467,0,0.601,0.229,0.508,0.792,0.124,0,0.145,-7.311,0,70,0.0297,147.067
18661,Runnin' Thru The 7th With My Woadies,2015,2015-09-01,"['$uicideBoy$', 'Pouya']",70nmZhHZLNVYWP4NON41Zw,205766,1,0.187,0.067,0.526,0.62,0.000241,8,0.139,-7.244,0,74,0.281,112.027
18662,Drag Me Down,2015,2015-11-13,['One Direction'],2K87XMYnUMqLcX3zvtAF4G,192120,0,0.595,0.109,0.73,0.703,0.0,0,0.0657,-5.6720000000000015,0,81,0.0369,138.113
18663,My House,2015,2015-04-07,['Flo Rida'],6Knv6wdA0luoMUuuoYi2i1,192191,0,0.74,0.0215,0.688,0.7020000000000001,0.0,7,0.128,-4.792,0,76,0.0499,94.006
18664,This Could Be Us,2015,2015-01-06,['Rae Sremmurd'],4jTiyLlOJVJj3mCr7yfPQD,206307,1,0.758,0.291,0.732,0.69,0.0,0,0.116,-4.992,0,74,0.134,143.072
18665,Alright,2015,2015-03-16,['Kendrick Lamar'],3iVcZ5G6tvkXZkZKlMpIUs,219333,1,0.5579999999999999,0.0742,0.7959999999999999,0.7659999999999999,0.0,7,0.0827,-5.974,1,73,0.238,110.034
18666,Don't Tell 'Em,2015,2015-12-04,"['Jeremih', 'YG']",0Dc7J9VPV4eOInoxUiZrsL,266840,1,0.386,0.392,0.856,0.527,0.0,2,0.11,-5.225,1,75,0.0997,98.052
